step,gaussian_node,categorical_node,input_raw,input,index,used_
1,2,3,1,C,481,TRUE
2,2,3,1,C,482,TRUE
3,2,3,1,C,483,TRUE
4,2,3,1,C,484,TRUE
5,2,3,1,C,485,TRUE
6,2,3,1,C,486,TRUE
7,2,3,1,C,487,TRUE
8,2,3,1,C,488,TRUE
9,2,3,1,C,489,TRUE
10,2,3,1,C,490,TRUE
11,2,3,1,C,491,TRUE
12,2,3,1,C,492,TRUE
13,2,3,1,C,493,TRUE
14,2,3,1,C,494,TRUE
15,2,3,1,C,495,TRUE
0,3,3,1,C,496,TRUE
1,3,3,1,C,497,TRUE
2,3,3,1,C,498,TRUE
3,3,3,1,C,499,TRUE
4,3,3,1,C,500,TRUE
5,3,3,1,C,501,TRUE
6,3,3,1,C,502,TRUE
7,3,3,1,C,503,TRUE
8,3,3,1,C,504,TRUE
9,3,3,1,C,505,TRUE
10,3,3,1,C,506,TRUE
11,3,3,1,C,507,TRUE
12,3,3,1,C,508,TRUE
13,3,3,1,C,509,TRUE
14,3,3,1,C,510,TRUE
15,3,3,1,C,511,TRUE
0,0,0,2,Crooks,512,TRUE
1,0,0,2,Crooks,513,TRUE
2,0,0,2,Crooks,514,TRUE
3,0,0,2,Crooks,515,TRUE
4,0,0,2,Crooks,516,TRUE
5,0,0,2,Crooks,517,TRUE
6,0,0,2,Crooks,518,TRUE
7,0,0,2,Crooks,519,TRUE
8,0,0,2,Crooks,520,TRUE
9,0,0,2,Crooks,521,TRUE
10,0,0,2,Crooks,522,TRUE
11,0,0,2,Crooks,523,TRUE
12,0,0,2,Crooks,524,TRUE
13,0,0,2,Crooks,525,TRUE
14,0,0,2,Crooks,526,TRUE
15,0,0,2,Crooks,527,TRUE
0,1,0,2,Crooks,528,TRUE
1,1,0,2,Crooks,529,TRUE
2,1,0,2,Crooks,530,TRUE
3,1,0,2,Crooks,531,TRUE
4,1,0,2,Crooks,532,TRUE
5,1,0,2,Crooks,533,TRUE
6,1,0,2,Crooks,534,TRUE
7,1,0,2,Crooks,535,TRUE
8,1,0,2,Crooks,536,TRUE
9,1,0,2,Crooks,537,TRUE
10,1,0,2,Crooks,538,TRUE
11,1,0,2,Crooks,539,TRUE
12,1,0,2,Crooks,540,TRUE
13,1,0,2,Crooks,541,TRUE
14,1,0,2,Crooks,542,TRUE
15,1,0,2,Crooks,543,TRUE
0,2,0,2,Crooks,544,TRUE
1,2,0,2,Crooks,545,TRUE
2,2,0,2,Crooks,546,TRUE
3,2,0,2,Crooks,547,TRUE
4,2,0,2,Crooks,548,TRUE
5,2,0,2,Crooks,549,TRUE
6,2,0,2,Crooks,550,TRUE
7,2,0,2,Crooks,551,TRUE
8,2,0,2,Crooks,552,TRUE
9,2,0,2,Crooks,553,TRUE
10,2,0,2,Crooks,554,TRUE
11,2,0,2,Crooks,555,TRUE
12,2,0,2,Crooks,556,TRUE
13,2,0,2,Crooks,557,TRUE
14,2,0,2,Crooks,558,TRUE
15,2,0,2,Crooks,559,TRUE
0,3,0,2,Crooks,560,TRUE
1,3,0,2,Crooks,561,TRUE
2,3,0,2,Crooks,562,TRUE
3,3,0,2,Crooks,563,TRUE
4,3,0,2,Crooks,564,TRUE
5,3,0,2,Crooks,565,TRUE
6,3,0,2,Crooks,566,TRUE
7,3,0,2,Crooks,567,TRUE
8,3,0,2,Crooks,568,TRUE
9,3,0,2,Crooks,569,TRUE
10,3,0,2,Crooks,570,TRUE
11,3,0,2,Crooks,571,TRUE
12,3,0,2,Crooks,572,TRUE
13,3,0,2,Crooks,573,TRUE
14,3,0,2,Crooks,574,TRUE
15,3,0,2,Crooks,575,TRUE
0,0,1,2,Crooks,576,TRUE
1,0,1,2,Crooks,577,TRUE
2,0,1,2,Crooks,578,TRUE
3,0,1,2,Crooks,579,TRUE
4,0,1,2,Crooks,580,TRUE
5,0,1,2,Crooks,581,TRUE
6,0,1,2,Crooks,582,TRUE
7,0,1,2,Crooks,583,TRUE
8,0,1,2,Crooks,584,TRUE
9,0,1,2,Crooks,585,TRUE
10,0,1,2,Crooks,586,TRUE
11,0,1,2,Crooks,587,TRUE
12,0,1,2,Crooks,588,TRUE
13,0,1,2,Crooks,589,TRUE
14,0,1,2,Crooks,590,TRUE
15,0,1,2,Crooks,591,TRUE
0,1,1,2,Crooks,592,TRUE
1,1,1,2,Crooks,593,TRUE
2,1,1,2,Crooks,594,TRUE
3,1,1,2,Crooks,595,TRUE
4,1,1,2,Crooks,596,TRUE
5,1,1,2,Crooks,597,TRUE
6,1,1,2,Crooks,598,TRUE
7,1,1,2,Crooks,599,TRUE
8,1,1,2,Crooks,600,TRUE
9,1,1,2,Crooks,601,TRUE
10,1,1,2,Crooks,602,TRUE
11,1,1,2,Crooks,603,TRUE
12,1,1,2,Crooks,604,TRUE
13,1,1,2,Crooks,605,TRUE
14,1,1,2,Crooks,606,TRUE
15,1,1,2,Crooks,607,TRUE
0,2,1,2,Crooks,608,TRUE
1,2,1,2,Crooks,609,TRUE
2,2,1,2,Crooks,610,TRUE
3,2,1,2,Crooks,611,TRUE
4,2,1,2,Crooks,612,TRUE
5,2,1,2,Crooks,613,TRUE
6,2,1,2,Crooks,614,TRUE
7,2,1,2,Crooks,615,TRUE
8,2,1,2,Crooks,616,TRUE
9,2,1,2,Crooks,617,TRUE
10,2,1,2,Crooks,618,TRUE
11,2,1,2,Crooks,619,TRUE
12,2,1,2,Crooks,620,TRUE
13,2,1,2,Crooks,621,TRUE
14,2,1,2,Crooks,622,TRUE
15,2,1,2,Crooks,623,TRUE
0,3,1,2,Crooks,624,TRUE
1,3,1,2,Crooks,625,TRUE
2,3,1,2,Crooks,626,TRUE
3,3,1,2,Crooks,627,TRUE
4,3,1,2,Crooks,628,TRUE
5,3,1,2,Crooks,629,TRUE
6,3,1,2,Crooks,630,TRUE
7,3,1,2,Crooks,631,TRUE
8,3,1,2,Crooks,632,TRUE
9,3,1,2,Crooks,633,TRUE
10,3,1,2,Crooks,634,TRUE
11,3,1,2,Crooks,635,TRUE
12,3,1,2,Crooks,636,TRUE
13,3,1,2,Crooks,637,TRUE
14,3,1,2,Crooks,638,TRUE
15,3,1,2,Crooks,639,TRUE
0,0,2,2,Crooks,640,TRUE
1,0,2,2,Crooks,641,TRUE
2,0,2,2,Crooks,642,TRUE
3,0,2,2,Crooks,643,TRUE
4,0,2,2,Crooks,644,TRUE
5,0,2,2,Crooks,645,TRUE
6,0,2,2,Crooks,646,TRUE
7,0,2,2,Crooks,647,TRUE
8,0,2,2,Crooks,648,TRUE
9,0,2,2,Crooks,649,TRUE
10,0,2,2,Crooks,650,TRUE
11,0,2,2,Crooks,651,TRUE
12,0,2,2,Crooks,652,TRUE
13,0,2,2,Crooks,653,TRUE
14,0,2,2,Crooks,654,TRUE
15,0,2,2,Crooks,655,TRUE
0,1,2,2,Crooks,656,TRUE
1,1,2,2,Crooks,657,TRUE
2,1,2,2,Crooks,658,TRUE
3,1,2,2,Crooks,659,TRUE
4,1,2,2,Crooks,660,TRUE
5,1,2,2,Crooks,661,TRUE
6,1,2,2,Crooks,662,TRUE
7,1,2,2,Crooks,663,TRUE
8,1,2,2,Crooks,664,TRUE
9,1,2,2,Crooks,665,TRUE
10,1,2,2,Crooks,666,TRUE
11,1,2,2,Crooks,667,TRUE
12,1,2,2,Crooks,668,TRUE
13,1,2,2,Crooks,669,TRUE
14,1,2,2,Crooks,670,TRUE
15,1,2,2,Crooks,671,TRUE
0,2,2,2,Crooks,672,TRUE
1,2,2,2,Crooks,673,TRUE
2,2,2,2,Crooks,674,TRUE
3,2,2,2,Crooks,675,TRUE
4,2,2,2,Crooks,676,TRUE
5,2,2,2,Crooks,677,TRUE
6,2,2,2,Crooks,678,TRUE
7,2,2,2,Crooks,679,TRUE
8,2,2,2,Crooks,680,TRUE
9,2,2,2,Crooks,681,TRUE
10,2,2,2,Crooks,682,TRUE
11,2,2,2,Crooks,683,TRUE
12,2,2,2,Crooks,684,TRUE
13,2,2,2,Crooks,685,TRUE
14,2,2,2,Crooks,686,TRUE
15,2,2,2,Crooks,687,TRUE
0,3,2,2,Crooks,688,TRUE
1,3,2,2,Crooks,689,TRUE
2,3,2,2,Crooks,690,TRUE
3,3,2,2,Crooks,691,TRUE
4,3,2,2,Crooks,692,TRUE
5,3,2,2,Crooks,693,TRUE
6,3,2,2,Crooks,694,TRUE
7,3,2,2,Crooks,695,TRUE
8,3,2,2,Crooks,696,TRUE
9,3,2,2,Crooks,697,TRUE
