,label,step,gaussian_node,categorical_node,input,index,metric_value,metric_name,input_raw,used_
92,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_OffProj_MSE_01,6,3,1,C,374,0.984727,Training_ManhattanDist-Mean,1,TRUE
93,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_OffProj_MSE_01,5,3,2,Crooks,693,0.793131,Training_ManhattanDist-Mean,2,TRUE
94,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_OffProj_MSE_01,4,3,2,DH5a,948,0.878848,Training_ManhattanDist-Mean,3,TRUE
95,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_OffProj_MSE_01,5,3,2,MG1655,1205,0.867772,Training_ManhattanDist-Mean,4,TRUE
96,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_OffProj_MSE_01,5,3,2,W,1461,0.771538,Training_ManhattanDist-Mean,5,TRUE
97,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_OffProj_MSE_01,4,3,2,W3110,1716,1.067092,Training_ManhattanDist-Mean,6,TRUE
98,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_OffProj_MSE_01,11,0,3,BL21,203,44138.99,Training_PercentDifference-Mean,0,TRUE
99,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_OffProj_MSE_01,5,2,0,C,293,11002.039,Training_PercentDifference-Mean,1,TRUE
100,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_OffProj_MSE_01,5,2,0,Crooks,549,15235.731,Training_PercentDifference-Mean,2,TRUE
101,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_OffProj_MSE_01,5,2,0,DH5a,805,15039.018,Training_PercentDifference-Mean,3,TRUE
102,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_OffProj_MSE_01,4,0,0,MG1655,1028,19891.438,Training_PercentDifference-Mean,4,TRUE
103,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_OffProj_MSE_01,4,0,0,W,1284,26141.168,Training_PercentDifference-Mean,5,TRUE
104,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_OffProj_MSE_01,4,0,0,W3110,1540,21471.111,Training_PercentDifference-Mean,6,TRUE
105,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_OffProj_MSE_01,9,0,0,BL21,9,0.236141,Validation_EuclideanDist-Mean,0,TRUE
106,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_OffProj_MSE_01,8,0,0,C,264,0.255259,Validation_EuclideanDist-Mean,1,TRUE
107,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_OffProj_MSE_01,9,0,0,Crooks,521,0.20559,Validation_EuclideanDist-Mean,2,TRUE
108,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_OffProj_MSE_01,4,1,0,DH5a,788,0.222076,Validation_EuclideanDist-Mean,3,TRUE
109,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_OffProj_MSE_01,11,2,0,MG1655,1067,0.215769,Validation_EuclideanDist-Mean,4,TRUE
110,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_OffProj_MSE_01,2,3,0,W,1330,0.188979,Validation_EuclideanDist-Mean,5,TRUE
111,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_OffProj_MSE_01,7,3,0,W3110,1591,0.253298,Validation_EuclideanDist-Mean,6,TRUE
112,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_OffProj_MSE_01,5,3,2,BL21,181,0.959391,Validation_ManhattanDist-Mean,0,TRUE
113,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_OffProj_MSE_01,4,3,2,C,436,1.059922,Validation_ManhattanDist-Mean,1,TRUE
114,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_OffProj_MSE_01,5,3,2,Crooks,693,0.859299,Validation_ManhattanDist-Mean,2,TRUE
115,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_OffProj_MSE_01,5,3,2,DH5a,949,0.962249,Validation_ManhattanDist-Mean,3,TRUE
116,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_OffProj_MSE_01,5,3,2,MG1655,1205,0.863908,Validation_ManhattanDist-Mean,4,TRUE
117,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_OffProj_MSE_01,5,3,2,W,1461,0.753303,Validation_ManhattanDist-Mean,5,TRUE
118,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_OffProj_MSE_01,5,3,2,W3110,1717,0.902032,Validation_ManhattanDist-Mean,6,TRUE
119,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_OffProj_MSE_01,2,1,0,BL21,18,4346.382,Validation_PercentDifference-Mean,0,TRUE
120,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_OffProj_MSE_01,14,1,2,C,414,2961.808,Validation_PercentDifference-Mean,1,TRUE
121,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_OffProj_MSE_01,4,3,2,Crooks,692,2496.6492,Validation_PercentDifference-Mean,2,TRUE
122,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_OffProj_MSE_01,3,2,1,DH5a,867,13443.297,Validation_PercentDifference-Mean,3,TRUE
123,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_OffProj_MSE_01,5,3,2,MG1655,1205,2196.7122,Validation_PercentDifference-Mean,4,TRUE
124,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_OffProj_MSE_01,10,0,0,W,1290,8885.168,Validation_PercentDifference-Mean,5,TRUE
125,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_OffProj_MSE_01,5,2,0,W3110,1573,8296.607,Validation_PercentDifference-Mean,6,TRUE
126,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MAPE_01,2,3,3,BL21,242,1.646043,Training_EuclideanDist-Mean,0,TRUE
127,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MAPE_01,3,1,2,C,403,1.818455,Training_EuclideanDist-Mean,1,TRUE
128,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MAPE_01,2,2,0,Crooks,546,1.534329,Training_EuclideanDist-Mean,2,TRUE
129,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MAPE_01,6,3,0,DH5a,822,1.741043,Training_EuclideanDist-Mean,3,TRUE
130,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MAPE_01,4,0,1,MG1655,1092,1.072109,Training_EuclideanDist-Mean,4,TRUE
131,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MAPE_01,9,2,3,W,1513,1.176403,Training_EuclideanDist-Mean,5,TRUE
132,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MAPE_01,3,3,1,W3110,1651,1.310929,Training_EuclideanDist-Mean,6,TRUE
133,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MAPE_01,2,3,3,BL21,242,11.884338,Training_ManhattanDist-Mean,0,TRUE
134,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MAPE_01,2,0,1,C,322,12.799604,Training_ManhattanDist-Mean,1,TRUE
135,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MAPE_01,2,2,0,Crooks,546,11.006413,Training_ManhattanDist-Mean,2,TRUE
136,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MAPE_01,13,0,0,DH5a,781,12.358059,Training_ManhattanDist-Mean,3,TRUE
137,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MAPE_01,4,0,1,MG1655,1092,7.384202,Training_ManhattanDist-Mean,4,TRUE
138,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MAPE_01,11,1,3,W,1499,8.638741,Training_ManhattanDist-Mean,5,TRUE
139,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MAPE_01,4,3,2,W3110,1716,9.397131,Training_ManhattanDist-Mean,6,TRUE
140,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MAPE_01,6,0,3,BL21,198,88.163864,Training_PercentDifference-Mean,0,TRUE
141,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MAPE_01,7,1,3,C,471,88.47962,Training_PercentDifference-Mean,1,TRUE
142,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MAPE_01,7,0,1,Crooks,583,88.502785,Training_PercentDifference-Mean,2,TRUE
143,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MAPE_01,5,3,2,DH5a,949,89.99228,Training_PercentDifference-Mean,3,TRUE
